"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country","id"
"1142","9958853750503338","9786197609042","2021","Klein, Josef","bul","Gorjaštata planina","<<Der>> brennende Berg","Sofija","XA-BG","onb9958853750503338"
"1144","9958497778703338","9785751614645","2018","Baronsky, Eva","rus","Gospodin Mocart probuždaetsja","Herr Mozart wacht auf","Moskva","XA-RU","onb9958497778703338"
"1147","990049120370603392","9782228915335","2016","Zweig, Stefan","fre","La gouvernante","<<Die>> Gouvernante","Paris","XA-FR","onb990049120370603392"
"1148","990057675790603392","9789548806725","2010","Widder, Bernhard","bul","Govorešti pejzaži","fail","[Sofija]","XA-BG","onb990057675790603392"
"1150","990048482030603392","9788420691664","2014","Handke, Peter","spa","La gran caída","<<Der>> große Fall","Madrid","XA-ES","onb990048482030603392"
"1151","990051048950603392","9788415539773","2014","Handke, Peter","cat","La gran caiguda","<<Der>> große Fall","Barcelona","XA-ES","onb990051048950603392"
"1152","9958599477403338","9782072787720","2019","Geiger, Arno","fre","Le grand royaume des ombres","Unter der Drachenwand","Paris","XA-FR","onb9958599477403338"
"1153","990044957700603392","9782070137503","2014","Handke, Peter","fre","La grande chute","<<Der>> große Fall","[Paris]","XA-FR","onb990044957700603392"
"1154","9958546172903338","9788811682455","2016","Handke, Peter","ita","Il grande evento","<<Der>> große Fall","Milano","XA-IT","onb9958546172903338"
"1155","9958499374503338","9788494489631","2016","Fritz, Marianne","spa","La gravedad de las circunstancias","<<Die>> Schwerkraft der Verhältnisse","Barcelona","XA-ES","onb9958499374503338"
"1156","990050273520603392","9781940625140","2015","Winkler, Josef","eng","Graveyard of bitter oranges","Friedhof der bitteren Orangen","New York","XD-US","onb990050273520603392"
"1157","990049588570603392","9783826059216","2016","Aichinger, Ilse","eng","The greater hope","<<Die>> größere Hoffnung","Würzburg","XA-DE-BY","onb990049588570603392"
"1159","9958026964803338","9782355362453","2017","Steinfest, Heinrich","fre","Greenland","<<Das>> grüne Rollo","Paris","XA-FR","onb9958026964803338"
"1167","9958585078503338","9786197350432","2019","Roth, Joseph","bul","Grobnicata na kapucinite","<<Die>> Kapuzinergruft","Sofija","XA-BG","onb9958585078503338"
"1168","990044404670603392","9789186835118","2013","Meyrink, Gustav","swe","Det gröna ansiktet","<<Das>> grüne Gesicht","Ljungby","XA-SE","onb990044404670603392"
"1170","990047240130603392","9789056725006","2015","Glavinic, Thomas","dut","Het grotere wonder","<<Das>> größere Wunder","Amsterdam","XA-NL","onb990047240130603392"
"1171","990037748620603392","9789612423544","2011","Ransmayr, Christoph","slv","Grozote teme in ledu","<<Die>> Schrecken des Eises und der Finsternis","Ljubljana","XA-SI","onb990037748620603392"
"1174","9958573478603338","9788679580481","2014","Bernhard, Thomas","srp","Gubitnik","<<Der>> Untergeher","Beograd","XA-RS","onb9958573478603338"
"1178","9958804475403338","9789644486647","1395","Zweig, Stefan","per","Ḥadīṯ-i šaṭranǧ","fail","Tihrān","XB-IR","onb9958804475403338"
"1179","9958493249603338","9786052991725","2017","Poznanski, Ursula","tur","Hain","<<Die>> Verschworenen","İstanbul","XB-TR","onb9958493249603338"
"1181","9958579773103338","9786158079105","2018","Kneifl, Edith","hun","Haláltánc harangszóra","Totentanz im Stephansdom","Budapest","XA-HU","onb9958579773103338"
"1184","9958954609803338","9789056727024","2022","Meyerhoff, Joachim","dut","Hamsters in je hersenen","Hamster im hinteren Stromgebiet","Amsterdam","XA-NL","onb9958954609803338"
"1191","9958797480503338","9788494707261","2019","Handke, Peter","spa","Hasta que el día os separe o una cuestión de luz","Jusqu' à ce que le jour vous sépare ou une question de lumière","Madrid","XA-ES","onb9958797480503338"
"1194","9958508479903338","9789750726644","2018","Zweig, Stefan","tur","Hayatın mucizeleri","fail","Galatasaray, İstanbul","XB-TR","onb9958508479903338"
"1196","990048807430603392","9788475222462","2014","Celan, Paul","ger","Hebras de sol","Fadensonnen","Madrid","XA-ES","onb990048807430603392"
"1197","990050325940603392","9789023492498","2015","Seethaler, Robert","dut","Een heel leven","<<Ein>> ganzes Leben","Amsterdam","XA-NL","onb990050325940603392"
"1198","990045971450603392","9789461642103","2013","Kumpfmüller, Michael","dut","De heerlijkheid van het leven","<<Die>> Herrlichkeit des Lebens","Amsterdam","XA-NL","onb990045971450603392"
"1200","990047210650603392","9788420685991","2014","Bernhard, Thomas","spa","Helada","Frost","Madrid","XA-ES","onb990047210650603392"
"1202","990050278510603392","9789873743733","2016","Bernhard, Thomas","spa","Heldenplatz","Heldenplatz","Buenos Aires","XD-AR","onb990050278510603392"
"1203","990049417540603392","9789603352860","2013","Rilke, Rainer Maria","gre","Helegeies tu Ntuino","Duineser Elegien","Athēna","XA-GR","onb990049417540603392"
"1205","990049602810603392","9788774672593","2016","Seethaler, Robert","dan","Et helt liv","<<Ein>> ganzes Leben","[København]","XA-DK","onb990049602810603392"
"1206","990042407660603392","9789461640918","2012","Haushofer, Marlen","dut","Hemel die nergens ophoudt","Himmel, der nirgendwo endet","Amsterdam","XA-NL","onb990042407660603392"
"1208","9958945400703338","9782226458476","2022","Helfer, Monika","fre","Héritages","<<Die>> Bagage","Paris","XA-FR","onb9958945400703338"
"1210","990045967570603392","9788415277347","2011","Zweig, Stefan","spa","Las hermanas","<<Die>> gleich-ungleichen Schwestern","Barcelona","XA-ES","onb990045967570603392"
"1211","990050060300603392","9788491044680","2016","Kaiser, Vea","spa","Los héroes felices","Makarionissi","Madrid","XA-ES","onb990050060300603392"
"1212","990050849540603392","9789198327403","2016","Hermann, Wolfgang","swe","Herr Faustini och mannen i hunden","Herr Faustini und der Mann im Hund","Umeå","XA-SE","onb990050849540603392"
"1213","990050849550603392","9789198036190","2015","Hermann, Wolfgang","swe","Herr Faustinis resor","Herr Faustini verreist","Umeå","XA-SE","onb990050849550603392"
"1218","990038392500603392","9789635309030","2010","Glattauer, Daniel","hun","A hetedik hullám","Alle sieben Wellen","Budapest","XA-HU","onb990038392500603392"
"1219","990047358860603392","9786059115018","2015","Handke, Peter","tur","Hiçkimse koyu'nda bir yıl","Mein Jahr in der Niemandsbucht","Çekmeköy, İstanbul","XB-TR","onb990047358860603392"
"1220","9958899915003338","9789935212986","2021","Handke, Peter","ice","Hið stutta bréf og hin langa kveðja","<<Der>> kurze Brief zum langen Abschied","Reykjavík","XA-IS","onb9958899915003338"
"1222","9958936204803338","9789460765186","2019","Horváth, Ödön ","dut","Hin und her","Hin und her","Amsterdam","XA-NL","onb9958936204803338"
"1225","990047576940603392","9788378660811","2015","Roth, Joseph","pol","Hiob","Hiob","Kraków [u.a.]","XA-PL","onb990047576940603392"
"1231","9958573665603338","9782072852527","2019","Handke, Peter","fre","Histoire d'enfant","Kindergeschichte","[Paris]","XA-FR","onb9958573665603338"
"1232","990049793440603392","9788416011681","2015","Zweig, Stefan","spa","Una historia crepuscular","Geschichte in der Dämmerung","Barcelona","XA-ES","onb990049793440603392"
"1236","990047349840603392","9788378661092","2015","Roth, Joseph","pol","Historia tysiąca i drugiej nocy","<<Die>> Geschichte von der 1002. Nacht","Kraków [u.a.]","XA-PL","onb990047349840603392"
"1237","9958821879503338","9788366267602","2021","Lavant, Christine","pol","Historia zapisana na drzwiach i dwie inne opowieści","fail","Wrocław","XA-PL","onb9958821879503338"
"1238","990050744360603392","9788437635040","2016","Rilke, Rainer Maria","spa","Historias del buen Dios","<<Los>> apuntes de Malte Laurids Brigge","Madrid","XA-ES","onb990050744360603392"
"1239","990049068390603392","9788776953508","2014","Roth, Joseph","dan","Historien om den 1002. nat","<<Die>> Geschichte von der 1002. Nacht","København","XA-DK","onb990049068390603392"
"1240","990049509830603392","9788793272149","2015","Rilke, Rainer Maria","dan","Historier om Vorherre","Geschichten vom lieben Gott","Otterup","XA-DK","onb990049509830603392"
"1242","9958816980703338","9788205536791","2019","Handke, Peter","nor","Hjemreisen","Langsame Heimkehr","[Oslo]","XA-NO","onb9958816980703338"
"1246","9958491059703338","9788024257846","2017","Poznanski, Ursula","cze","Hlasy","Stimmen","Praha","XA-CZ","onb9958491059703338"
"1247","9958562680603338","9788074737749","2019","Menasse, Robert","cze","Hlavní město","<<Die>> Hauptstadt","Praha","XA-CZ","onb9958562680603338"
"1248","9958491277103338","9788807882166","2018","Glattauer, Daniel","ita","Le ho mai raccontato del vento del Nord","Gut gegen Nordwind","Milano","XA-IT","onb9958491277103338"
"1249","990037040620603392","9788807702174","2010","Glattauer, Daniel","ita","Le ho mai raccontato del vento del Nord","Gut gegen Nordwind","Milano","XA-IT","onb990037040620603392"
"1251","9958512650703338","9788679581280","2017","Bernhard, Thomas","srp","Hodanje","Gehen","Beograd","XA-RS","onb9958512650703338"
"1255","9958552976603338","9789632673738","2018","Aichner, Bernhard","hun","Holtak asszonya","Totenfrau","Szeged","XA-HU","onb9958552976603338"
"1256","9958839756903338","9789632674001","2018","Aichner, Bernhard","hun","Holtak háza","Totenhaus","Szeged","XA-HU","onb9958839756903338"
"1261","9958507279903338","9789029523677","2018","Menasse, Robert","dut","De hoofdstad","<<Die>> Hauptstadt","Amsterdam","XA-NL","onb9958507279903338"
"1263","9958599477003338","9788420438474","2019","Bernhard, Thomas","spa","Hormigón","Beton","[Madrid]","XA-ES","onb9958599477003338"
"1264","990043693830603392","9788420609324","2012","Bernhard, Thomas","spa","Hormigón","Beton","Madrid","XA-ES","onb990043693830603392"
"1265","990048056080603392","9789186703202","2013","Reitzer, Angelika","swe","Hos oss","Unter uns","Malmö","XA-SE","onb990048056080603392"
"1266","990048502550603392","9788378661931","2015","Roth, Joseph","pol","Hotel ""Savoy""","Hotel Savoy","Kraków [u.a.]","XA-PL","onb990048502550603392"
"1269","9958819780403338","9789022582732","2018","Doehnert, Rodica","dut","Hotel Sacher","<<Das>> Sacher","Amsterdam","XA-NL","onb9958819780403338"
"1270","990051049000603392","9788496136496","2017","Roth, Joseph","spa","Hotel Savoy","Hotel Savoy","Barcelona","XA-ES","onb990051049000603392"
"1271","990051183990603392","9789020413908","2016","Roth, Joseph","dut","Hotel Savoy","Hotel Savoy","Amsterdam","XA-NL","onb990051183990603392"
"1273","990042613580603392","9788671881371","2011","Roth, Joseph","srp","Hotel Savoy","Hotel Savoy","Novi Sad","XA-SP","onb990042613580603392"
"1274","9958513059203338","9789536858668","2016","Roth, Joseph","hrv","Hotel Savoy","fail","Pula","XA-HR","onb9958513059203338"
"1276","9958583076403338","9789086841851","2019","Bernhard, Thomas","dut","Houthakken","Holzfällen","Utrecht","XA-NL","onb9958583076403338"
"1277","9958545563603338","9788776955380","2018","Menasse, Robert","dan","Hovedstaden","<<Die>> Hauptstadt","København","XA-DK","onb9958545563603338"
"1280","990042916360603392","9788770702584","2012","Baronsky, Eva","dan","Hr. Mozart vågner op","Herr Mozart wacht auf","[Højbjerg]","XA-DK","onb990042916360603392"
"1281","990044956360603392","9788374329972","2013","LernetHolenia, Alexander","pol","Hrabia Luna","<<Der>> Graf Luna","Wrocław","XA-PL","onb990044956360603392"
"1282","9958562463603338","9788024452982","2018","Härtling, Peter","cze","Hráč s myšlenkami","<<Der>> Gedankenspieler","Olomouc","XA-CZ","onb9958562463603338"
"1290","990050315160603392","9780811222785","2014","Roth, Joseph","eng","The hundred days","<<Die>> hundert Tage","New York","XD-US","onb990050315160603392"
"1292","990042622890603392","9780199600922","2012","Kafka, Franz","eng","A hunger artist and other stories","fail","Oxford [u.a.]","XA-GB","onb990042622890603392"
"1295","9958558076203338","9789176811603","2019","Menasse, Robert","swe","Huvudstaden","<<Die>> Hauptstadt","Stockholm","XA-SE","onb9958558076203338"
"1297","9958493280103338","9789186703370","2015","Rakusa, Ilma","swe","I drömmarna mellan fälten: snö","fail","Malmö","XA-SE","onb9958493280103338"
"1298","990038396460603392","9789163385629","2011","Turrini, Peter","swe","I kärlekens namn","Im Namen der Liebe","[Grebbestad]","XA-SE","onb990038396460603392"
"1303","9958964600603338","9789533401157","2021","Köhlmeier, Michael","hrv","Idila sa psom koji se utapa","Idylle mit ertrinkendem Hund","Zagreb","XA-HR","onb9958964600603338"
"1304","990047995990603392","9788415539070","2012","Köhlmeier, Michael","spa","Idilio con perro ahogándose","Idylle mit ertrinkendem Hund","Barcelona","XA-ES","onb990047995990603392"
"1305","990047993630603392","9788415539094","2012","Köhlmeier, Michael","cat","Idil·li amb gos ofegant-se","Idylle mit ertrinkendem Hund","Barcelona","XA-ES","onb990047993630603392"
"1307","990051017360603392","9782330064440","2016","Köhlmeier, Michael","fre","Idylle avec chien qui se noie","Idylle mit ertrinkendem Hund","Arles","XA-FR","onb990051017360603392"
"1308","990045395680603392","9789089530721","2011","Köhlmeier, Michael","dut","Idylle met verdrinkende hond","Idylle mit ertrinkendem Hund","Amsterdam","XA-NL","onb990045395680603392"
"1309","990046402890603392","9789985326343","2012","Glattauer, Daniel","est","Igavesti sinu","Ewig Dein","Tallinn","XA-EE","onb990046402890603392"
"1312","990056743350603392","9789750733406","2016","Trojanow, Ilija","tur","İktidar ve direniş","Macht und Widerstand","Galatasaray, İstanbul","XB-TR","onb990056743350603392"
"1313","990046352820603392","9782714456090","2014","Vermes, Timur","fre","Il est de retour","Er ist wieder da","Paris","XA-FR","onb990046352820603392"
"1316","990050328180603392","9782258136212","2017","Kaiser, Vea","fre","L'île des bienheureux","Makarionissi","[Paris]","XA-FR","onb990050328180603392"
"1320","990045608930603392","9788671881364","2012","Hofmannsthal, Hugo ","srp","Imaginarna pisma","fail","Novi Sad","XA-SP","onb990045608930603392"
"1321","990037442850603392","9788420649757","2010","Bernhard, Thomas","spa","El imitador de voces","<<Der>> Stimmenimitator","Madrid","XA-ES","onb990037442850603392"
"1322","9958811573603338","9782070255313","2019","Bernhard, Thomas","fre","L' imitateur","<<Der>> Stimmenimitator","[Paris]","XA-FR","onb9958811573603338"
"1323","990048814240603392","9788679581013","2015","Bernhard, Thomas","srp","Imitator glasova","<<Der>> Stimmenimitator","Beograd","XA-SP","onb990048814240603392"
"1324","990049215790603392","9786188166950","2015","Bernhard, Thomas","gre","Immanuel Kant","Immanuel Kant","Peristeri","XA-GR","onb990049215790603392"
"1326","9958926113903338","9789543572656","2022","Cristen, Gabriele Marie","bul","Imperatrica Sisi","Sisi","Sofija","XA-BG","onb9958926113903338"
"1332","9958949305803338","9788823527263","2022","Handke, Peter","ita","In una notte buia uscii dalla mia casa silenziosa","In einer dunklen Nacht ging ich aus meinem stillen Haus","Milano","XA-IT","onb9958949305803338"
"1333","9958894540203338","9789492395283","2019","Trakl, Georg","dut","In zusters tuin","fail","[Baarn]","XA-NL","onb9958894540203338"
"1334","990044433680603392","9789197980357","2012","Glattauer, Daniel","swe","Inbox (1)","Gut gegen Nordwind","Stockholm","XA-SE","onb990044433680603392"
"1336","990051192600603392","9789634050582","2015","Setz, Clemens J.","hun","Indigó","Indigo","Budapest","XA-HU","onb990051192600603392"
"1337","9958822572803338","9789532592818","2020","Setz, Clemens J.","hrv","Indigo","Indigo","Zagreb","XA-HR","onb9958822572803338"
"1338","990048655820603392","9788776953096","2015","Setz, Clemens J.","dan","Indigo","Indigo","København","XA-DK","onb990048655820603392"
"1340","990050086000603392","9788446041740","2015","Kafka, Franz","spa","Informe para una academia y otros escritos","fail","Tres Cantos, Madrid, España","XA-ES","onb990050086000603392"
"1341","990049074780603392","9788492468751","2015","Bachmann, Ingeborg","baq","Ingeborg Bachmann","fail","Zarautz","XA-ES","onb990049074780603392"
"1342","990049497430603392","9784791765799","2011","Bachmann, Ingeborg","jpn","Ingeboruku bahhaman zenshishū","Sämtliche Gedichte","Tōkyō","XB-JP","onb990049497430603392"
"1343","9958943591903338","9789189113312","2020","Celan, Paul","swe","Ingenmansrosen","<<Die>> Niemandsrose","Stockholm","XA-SE","onb9958943591903338"
"1344","990050739880603392","9781906548209","2010","Jungk, Peter Stephan","eng","The inheritance","<<Die>> Erbschaft","London","XA-GB","onb990050739880603392"
"1345","9958943589603338","9786226652322","2022","Zweig, Stefan","per","Inhidām-i yakk qalb","Untergang eines Herzens","Tihrān","XB-IR","onb9958943589603338"
"1347","990047067400603392","9788652114450","2014","Pittler, Andreas P.","srp","Inspektor Bronštajn i slučaj ubijenog naciste","Zores","Beograd","XA-SP","onb990047067400603392"
"1348","9959010308703338","9782382920404","2021","Fritsch, Valerie","fre","Les insuffisances du coeur","Herzklappen von Johnson & Johnson","Paris","XA-FR","onb9959010308703338"
"1349","9958764579703338","9788822904393","2020","Handke, Peter","ita","Insulti al pubblico","Publikumsbeschimpfung und andere Sprechstücke","Macerata","XA-IT","onb9958764579703338"
"1357","9958859855403338","9789525850901","2021","Handke, Peter","fin","Intohimoisesta sienestäjästä","Versuch über den Pilznarren","[Helsinki]","XA-FI","onb9958859855403338"
"1358","990049068350603392","9789525850567","2015","Handke, Peter","fin","Intohimoisesta sienestäjästä","Versuch über den Pilznarren","Helsinki","XA-FI","onb990049068350603392"
"1359","9958852455903338","9788833534626","2020","Hartlieb, Petra","ita","Un inverno a Vienna","<<Ein>> Winter in Wien","Torino","XA-IT","onb9958852455903338"
"1361","9958496969803338","9780811226899","2017","Kafka, Franz","eng","Investigations of a dog, and other creatures","fail","New York","XD-US","onb9958496969803338"
"1363","9958578338903338","9788809818934","2019","Poznanski, Ursula","ita","Invisible","Invisible","Firenze","XA-IT","onb9958578338903338"
"1364","990049507340603392","9789603259756","2013","Roth, Joseph","gre","Iōb","Hiob","Athēna","XA-GR","onb990049507340603392"
"1365","990038585520603392","9785751610029","2011","Roth, Joseph","rus","Iov","Hiob","Moskva","XA-RU","onb990038585520603392"
"1366","990057720140603392","9789549244557","2011","Roth, Joseph","bul","Iov","Hiob","Sofija","XA-BG","onb990057720140603392"
"1367","990044480460603392","9788493836849","2011","Glattauer, Daniel","baq","Ipar haizearen kontra","Gut gegen Nordwind","[Irun]","XA-ES","onb990044480460603392"
"1368","990047997240603392","9788779735286","2012","Trojanow, Ilija","dan","Isbrud","Eistau","Købnhavn","XA-DK","onb990047997240603392"
"1375","990057731380603392","9789543572748","2014","Lechner, Auguste","bul","Ivejn","Iwein","Sofija","XA-BG","onb990057731380603392"
"1376","9958874154303338","9786086570620","2020","Rilke, Rainer Maria","mac","Izbrana poezija","Ausgewählte Gedichte","Skopje","XA-MK","onb9958874154303338"
"1377","9958803277503338","9786191761586","2019","Celan, Paul","bul","Izbrani stichotvorenija","fail","Sofija","XA-BG","onb9958803277503338"
"1378","990050082370603392","9785904935542","2015","Ausländer, Rose","rus","Izbrannoe","fail","Moskva","XA-RU","onb990050082370603392"
"1380","9958881354103338","9789549621808","2021","Kafka, Franz","bul","Izčeznalijat (Amerika)","<<Der>> Verschollene","Sofija","XA-BG","onb9958881354103338"
"1381","990044477740603392","9789612319038","2012","Menasse, Robert","slv","Izgon iz pekla","<<Die>> Vertreibung aus der Hölle","Ljubljana","XA-SI","onb990044477740603392"
"1382","990049507270603392","9785170951147","2016","Kehlmann, Daniel","rus","Izmerjaja mir","<<Die>> Vermessung der Welt","Moskva","XA-RU","onb990049507270603392"
"1384","9958853749703338","9786197596601","2021","Roth, Joseph","bul","Izpoved na edin ubiec, napravena za edna nošt","Beichte eines Mörders, erzählt in einer Nacht","Sofija","XA-BG","onb9958853749703338"
"1385","990049795460603392","9788494116278","2014","Roth, Joseph","spa","Izquierda y derecha","Rechts und links","[Madrid]","XA-ES","onb990049795460603392"
"1386","990045174370603392","9788492979035","2010","Roth, Joseph","spa","Izquierda y derecha","Rechts und links","[Barcelona]","XA-ES","onb990045174370603392"
"1387","9958585874003338","9789649971025","1397","Roth, Joseph","per","Iʿtirāfāt-i yik qātil","Beichte eines Mörders, erzählt in einer Nacht","Tihrān","XB-IR","onb9958585874003338"
"1388","990043073940603392","9788020422446","2012","Kehlmann, Daniel","cze","Já a Kaminski","Ich und Kaminski","Praha","XA-CZ","onb990043073940603392"
"1389","990050846260603392","9789188253125","2017","Bernhard, Thomas","swe","Ja","Ja","Stockholm","XA-SE","onb990050846260603392"
"1390","9958826774603338","9788799916962","2019","Bernhard, Thomas","dan","Ja","Ja","[Frederiksberg]","XA-DK","onb9958826774603338"
"1391","9958870052203338","9789078627906","2019","Bernhard, Thomas","dut","Ja","Ja","[Bleiswijk]","XA-NL","onb9958870052203338"
"1392","990038242800603392","9788884206237","2010","Jelinek, Elfriede","ita","Jackie","Jackie","Udine","XA-IT","onb990038242800603392"
"1393","9958503976403338","9788893441575","2017","Jelinek, Elfriede","ita","Jackie","Jackie","Milano","XA-IT","onb9958503976403338"
"1396","990042627400603392","9789172472891","2012","Mayröcker, Friederike","swe","Jag är på anstalt","Ich bin in der Anstalt","Lund","XA-SE","onb990042627400603392"
"1397","9958523169503338","9789188155184","2017","Flašar, Milena Michiko","swe","Jag kallade honom Slipsen","Ich nannte ihn Krawatte","Malmö","XA-SE","onb9958523169503338"
"1399","990037400890603392","9788361299059","2011","Haas, Wolf","pol","Jak zwierzęta","Wie die Tiere","Warszawa","XA-PL","onb990037400890603392"
"1400","990050268560603392","9788491044963","2016","Fritsch, Valerie","spa","Jardín de invierno","Winters Garten","Madrid","XA-ES","onb990050268560603392"
"1401","990050353280603392","9782752910738","2017","Fritsch, Valerie","fre","Le jardin de Winter","Winters Garten","[Paris]","XA-FR","onb990050353280603392"
"1404","990045967470603392","9782892617757","2013","Flašar, Milena Michiko","fre","Je l'appelais cravate","Ich nannte ihn Krawatte","[Montréal]","XD-CA","onb990045967470603392"
"1407","9958513072103338","9789533551319","2017","Schutti, Carolina","hrv","Jednom sam zasigurno mekom travom potrčala","Einmal muss ich über weiches Gras gelaufen sein","Zagreb","XA-HR","onb9958513072103338"
"1408","9958796776203338","9788799803088","2019","Flašar, Milena Michiko","dan","Jeg kaldte ham slips","Ich nannte ihn Krawatte","[Ålbæk]","XA-DK","onb9958796776203338"
"1409","9958573666603338","9788726007770","2018","Simmel, Johannes Mario","dan","Jeg tilstår alt","Ich gestehe alles","[København]","XA-DK","onb9958573666603338"
"1410","990057718370603392","9789636765484","2016","Kim, Anna","hun","Jéggé dermedt idő","<<Die>> gefrorene Zeit","[Budapest]","XA-HU","onb990057718370603392"
"1411","9958828267403338","9788024941493","2021","Simmel, Johannes Mario","cze","Jen vítr to ví","<<Die>> Antwort kennt nur der Wind","Praha","XA-CZ","onb9958828267403338"
"1415","990049815470603392","9791158790424","2016","Gruber, Andreas","kor","Ji og i sae gyeo jin so nyeo","Todesurteil","Seo ul","XB-KR","onb990049815470603392"
"1418","990043050340603392","9788087545010","2011","Rabinovici, Doron","cze","Jinde","Andernorts","Zlín","XA-CZ","onb990043050340603392"
"1420","990045395700603392","9788488839640","2012","Roth, Joseph","cat","Job","Hiob","Barcelona","XA-ES","onb990045395700603392"
"1423","990043119340603392","9782954067605","2012","Roth, Joseph","fre","Job","Hiob","[Tours]","XA-FR","onb990043119340603392"
"1424","990047511030603392","9789616922395","2014","Roth, Joseph","slv","Job","Hiob","Ljubljana","XA-SI","onb990047511030603392"
"1425","990050272830603392","9789020414028","2016","Roth, Joseph","dut","Job","Hiob","Amsterdam","XA-NL","onb990050272830603392"
"1428","990047583430603392","9782868661197","2015","Roth, Joseph","oci","Jòb, roman d'un òme simple","Hiob, Roman eines einfachen Mannes","Ortès","XA-FR","onb990047583430603392"
"1429","990037879850603392","9789632441801","2010","Haas, Wolf","hun","Jöjj, édes halál!","Komm, süßer Tod","Budapest","XA-HU","onb990037879850603392"
"1432","990047995960603392","9789517969048","2013","Glattauer, Daniel","fin","Joka seitsemäs aalto","Alle sieben Wellen","Jyväskylä","XA-FI","onb990047995960603392"
"1433","9958923037103338","9789463932011","2020","Schnitzler, Arthur","dut","De jonge weduwe","Frau Bertha Garlan","Gent","XA-BE","onb9958923037103338"
"1434","9958602979803338","9788232802746","2019","Seethaler, Robert","nor","Jordet","<<Das>> Feld","Oslo","XA-NO","onb9958602979803338"
"1435","9958803277903338","9788651515494","2019","Handke, Peter","srp","Još jedanput za Tukidida","Noch einmal für Thukydides","Novi Sad","XA-RS","onb9958803277903338"
"1438","9958522877003338","9789528006558","2018","Salten, Felix","eng","Josefine Mutzenbacher or The story of a Viennese Wench, as Told by herself","fail","Helsinki","XA-FI","onb9958522877003338"
"1439","9958524548903338","9789528006565","2018","Salten, Felix","eng","Josefine Mutzenbacher or The story of a Viennese wench, as told by herself","fail","Helsinki","XA-FI","onb9958524548903338"
"1442","990049985950603392","9791025500811","2016","Zweig, Stefan","fre","Le joueur d'échecs","Schachnovelle","Rémilly","XA-FR","onb990049985950603392"
"1446","990043941870603392","9781590173671","2011","Zweig, Stefan","eng","Journey into the past","Widerstand der Wirklichkeit","New York, NY","XD-US","onb990043941870603392"
"1447","990037422240603392","9789996281983","2010","Svatek, Kurt F.","fre","A journey round the world","fail","Ulaanbaatar","XB-MN","onb990037422240603392"
"1449","990045673470603392","9788671881388","2012","Roth, Joseph","srp","Jov. Roman jednog jednostavnog čoveka","fail","Novi Sad","XA-SP","onb990045673470603392"
"1450","9958507776703338","9788494736605","2017","Horváth, Ödön ","cat","Joventut sense Déu","Jugend ohne Gott","Juneda","XA-ES","onb9958507776703338"
"1452","9958859855303338","9789525850963","2019","Handke, Peter","fin","Jukeboksista","Versuch über die Jukebox","[Helsinki]","XA-FI","onb9958859855303338"
"1453","9958837251703338","9781250767257","2020","Handke, Peter","eng","The Jukebox and other essays on storytelling","Versuch über die Jukebox","New York","XD-US","onb9958837251703338"
"1457","990050847980603392","9782266254953","2016","Meyerhoff, Joachim","fre","Jusqu'ici et pas au-delà","Wann wird es endlich wieder so, wie es nie war","Paris","XA-FR","onb990050847980603392"
"1458","990046787700603392","9782843377440","2014","Meyerhoff, Joachim","fre","Jusqu'ici et pas au-delà","Wann wird es endlich so, wie es nie war","Paris","XA-FR","onb990046787700603392"
"1459","9958820973303338","9780857428684","2021","Mayröcker, Friederike","eng","Just sitting around here gruesomely now","Ich sitze nur grausam da","London","XA-GB","onb9958820973303338"
"1460","9958923037503338","9788417281380","2019","Horváth, Ödön ","spa","Juventud sin Dios","Jugend ohne Gott","Madrid","XA-ES","onb9958923037503338"
"1461","990050036930603392","9788364884764","2015","Erdheim, Claudia","pol","Już dawna niekoszernie","Längst nicht mehr koscher","Siedlce","XA-PL","onb990050036930603392"
"1462","990043695170603392","9789549621532","2012","Gstrein, Norbert","bul","Južni zimi","<<Die>> Winter im Süden","Sofija","XA-BG","onb990043695170603392"
"1463","990038283090603392","9788652106370","2011","Glattauer, Daniel","srp","Kad duva severac","Gut gegen Nordwind","Beograd","XA-SP","onb990038283090603392"
"1466","990048655840603392","9788776953232","2014","Setz, Clemens J.","dan","Kaerligheden pa Mahlstädter-barnets tid","<<Die>> Liebe zur Zeit des Mahlstädter Kindes","København","XA-DK","onb990048655840603392"
"1473","990048813780603392","9788671881524","2014","Glavinic, Thomas","srp","Kako živeti","Wie man leben soll","Novi Sad","XA-SP","onb990048813780603392"
"1477","990036946170603392","9789547362147","2010","Gruber, Marianne","bul","Kăm zamăka","Ins Schloss","Veliko Tărnovo","XA-BG","onb990036946170603392"
"1481","990049810910603392","9789630796101","2014","Glavinic, Thomas","hun","A kamerás gyilkos","<<Der>> Kameramörder","Budapest","XA-HU","onb990049810910603392"
"1482","9958540972403338","9786185004736","2018","Celan, Paul","gre","Kampē pnoēs","Atemwende","Athēna","XA-GR","onb9958540972403338"
"1484","990050283240603392","9789020414059","2014","Roth, Joseph","dut","De Kapucijner Crypte","<<Die>> Kapuzinergruft","Amsterdam","XA-NL","onb990050283240603392"
"1485","9958687362803338","9789939764627","2020","Handke, Peter","arm","Karč namak erkar hražeštik* ařaĵ","<<Der>> kurze Brief zum langen Abschied","Erewan","XB-AM","onb9958687362803338"
"1493","9958558954103338","9789631436532","2018","Kafka, Franz","hun","A kastély","<<Das>> Schloss","Budapest","XA-HU","onb9958558954103338"
